,vuosi,etuus,kuukausi_nro,vuosikuukausi,kunta_nro,saaja_lkm,saaja_laskenta_lkm,maksettu_eur,maksettu_laskenta_eur,average,overall_change,change,pisteluku,index_fixed_average
0,2018,Asumislisä,3816,64176216,141793,5591,5490,1904935.8499999999,3984303.34,725.7383132969035,0.0,,1.0,725.7383132969035
1,2018,Opintolainan valtiontakaus,14328,240963528,543652,88706,88706,0.0,415455700.0,4683.512952900593,0.0,,1.0,4683.512952900593
2,2018,Opintoraha,14256,239752656,541981,88524,87847,138084736.6,146486994.21,1667.5241523330337,0.0,,1.0,1667.5241523330337
3,2018,Opintoraha ja asumislisä yhteensä,14256,239752656,541981,88525,87847,139989672.45,150471297.55,1712.879182556035,0.0,,1.0,1712.879182556035
4,2018,Yhteensä,14460,243183460,549115,89258,89173,139989672.45,565926997.55,6346.394060421876,0.0,,1.0,6346.394060421876
5,2019,Asumislisä,3348,56333448,125051,5172,5081,3197023.54,3690250.96,726.2843849635898,0.5460716666863163,0.07524360457222823,1.0109262478271666,733.6679099656553
6,2019,Opintolainan valtiontakaus,13812,232400712,523906,90052,90052,0.0,420865720.0,4673.585483942611,-9.927468957981546,-0.2119662966200031,1.0109262478271666,4734.686176125729
7,2019,Opintoraha,13812,232400712,522627,89835,89129,140062750.34,148689480.03,1668.2502892436805,0.726136910646801,0.04354581069370145,1.0109262478271666,1685.7439344792103
8,2019,Opintoraha ja asumislisä yhteensä,13812,232400712,522627,89836,89129,143259773.88,152379730.99,1709.6537713875396,-3.225411168495384,-0.18830348347641523,1.0109262478271666,1731.5945250026366
9,2019,Yhteensä,13956,234823656,528182,90543,90465,143259773.88,573245450.99,6336.654518211463,-9.739542210412765,-0.15346576524694067,1.0109262478271666,6415.736334734904
10,2020,Asumislisä,2604,43836604,99715,3392,3330,1971601.04,2238563.43,672.2412702702703,-53.49704302663315,-7.441040426062406,1.0209419750020694,740.9367069120112
